Subpopulation,X,Y,K,K StDev,N0,Natal Grounds,Migration Grounds,Genes Initialize,Class Vars,Mortality Out %,Mortality Out StDev,Mortality Back %,Mortality Back StDev,Mortality Eggs,Mortality Eggs StDev,Migration,Set Migration,Straying,GrowthTemperatureOut,GrowthTemperatureOutStDev,GrowDaysOut,GrowDaysOutStDev,GrowthTemperatureBack,GrowthTemperatureBackStDev,GrowDaysBack,GrowDaysBackStDev,Capture Probability Out,Capture Probability Back,Fitness_AA,Fitness_Aa,Fitness_aa,Fitness_BB,Fitness_Bb,Fitness_bb,Fitness_AABB,Fitness_AaBB,Fitness_aaBB,Fitness_AABb,Fitness_AaBb,Fitness_aaBb,Fitness_AAbb,Fitness_Aabb,Fitness_aabb
25,362909.3868,280580.7836,100,0,100,1,0,EF_random.csv,Classvars_BKT.csv,0,0,0,0,0,0,0,N,1,13,0.5,250,10,4,0.5,115,10,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,345919.5101,284245.5409,100,0,100,1,0,EF_random.csv,Classvars_BKT.csv,0,0,0,0,0,0,0,N,1,13,0.5,250,10,4,0.5,115,10,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,362135.9375,279656.6255,100,0,100,1,0,EF_random.csv,Classvars_BKT.csv,0,0,0,0,0,0,0,N,1,13,0.5,250,10,4,0.5,115,10,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,348460.2811,283820.6272,100,0,100,1,0,EF_random.csv,Classvars_BKT.csv,0,0,0,0,0,0,0,N,1,13,0.5,250,10,4,0.5,115,10,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,358696.3934,280933.642,100,0,100,1,0,EF_random.csv,Classvars_BKT.csv,0,0,0,0,0,0,0,N,1,13,0.5,250,10,4,0.5,115,10,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,348636.0162,283729.1533,100,0,100,1,0,EF_random.csv,Classvars_BKT.csv,0,0,0,0,0,0,0,N,1,13,0.5,250,10,4,0.5,115,10,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,341034.9198,285414.6732,100,0,100,1,0,EF_random.csv,Classvars_BKT.csv,0,0,0,0,0,0,0,N,1,13,0.5,250,10,4,0.5,115,10,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,342707.6154,284995.9494,100,0,100,1,0,EF_random.csv,Classvars_BKT.csv,0,0,0,0,0,0,0,N,1,13,0.5,250,10,4,0.5,115,10,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,346958.6366,282550.5535,100,0,100,1,0,EF_random.csv,Classvars_BKT.csv,0,0,0,0,0,0,0,N,1,13,0.5,250,10,4,0.5,115,10,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,356350.0939,281714.6557,100,0,100,1,0,EF_random.csv,Classvars_BKT.csv,0,0,0,0,0,0,0,N,1,13,0.5,250,10,4,0.5,115,10,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,356449.251,281637.4529,100,0,100,1,0,EF_random.csv,Classvars_BKT.csv,0,0,0,0,0,0,0,N,1,13,0.5,250,10,4,0.5,115,10,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,349483.8252,282181.7479,100,0,100,1,0,EF_random.csv,Classvars_BKT.csv,0,0,0,0,0,0,0,N,1,13,0.5,250,10,4,0.5,115,10,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,355753.0225,280844.0439,100,0,100,0,1,EF_random.csv,Classvars_BKT.csv,0,0,0,0,0,0,0,N,1,13,0.5,250,10,4,0.5,115,10,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,363324.5657,279650.1881,100,0,100,1,0,EF_random.csv,Classvars_BKT.csv,0,0,0,0,0,0,0,N,1,13,0.5,250,10,4,0.5,115,10,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,363141.0907,279572.2338,100,0,100,1,0,EF_random.csv,Classvars_BKT.csv,0,0,0,0,0,0,0,N,1,13,0.5,250,10,4,0.5,115,10,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,340702.2094,285054.0387,100,0,100,1,0,EF_random.csv,Classvars_BKT.csv,0,0,0,0,0,0,0,N,1,13,0.5,250,10,4,0.5,115,10,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,345747.4696,283554.7968,100,0,100,1,0,EF_random.csv,Classvars_BKT.csv,0,0,0,0,0,0,0,N,1,13,0.5,250,10,4,0.5,115,10,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
